domain,tranco_rank,category,theme,ip,server_header,primary_contact_email,all_emails,phones,socials,addresses,pages_checked,fetched_at
corex.co.zw,,business,hello-elementor,170.249.236.20,LiteSpeed,info@corex.co.zw,info@corex.co.zw; corexcapital23@gmail.com; info@corexcapital.co.zw,077 833 4736; 078 455 2898; 077 395 5616,https://www.facebook.com/profile.php?id=100090614241720,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.292116+00:00
arundel.ac.zw,,education,,41.85.192.3,Apache,reception@arundel.ac.zw,reception@arundel.ac.zw; registrar@arundel.ac.zw,+263 242 335671; +263 86 77 00 1955,https://www.facebook.com/ArundelSchoolOfficial; https://www.linkedin.com/company/71226393; https://www.instagram.com/arundelschoolzw/,,/contact-us/,2026-05-04T21:08:46.292132+00:00
contactfcc.co.zw,,other,,129.232.213.109,Apache,contact@contactfcc.co.zw,contact@contactfcc.co.zw,+263 71 262 9303; 0712629303; +263 29-2272400,https://facebook.com/contactfcc/; https://twitter.com/contactfcc,,"/,/about/,/technology-facilitated-child-sexual-exploitation-and-abuse-tf-csea-a-growing-concern/,/about-us/",2026-05-04T21:08:46.292160+00:00
cdr.co.zw,,blog,Divi,144.208.108.189,Apache,,,,,,,2026-05-04T21:08:46.292177+00:00
ctbolts.co.zw,,business,,149.255.62.153,nginx,,,,,,/,2026-05-04T21:08:46.292197+00:00
chipulaplumbers.co.zw,,business,,147.79.116.49,hcdn,,,,,,,2026-05-04T21:08:46.292215+00:00
csi.co.zw,,business,,149.255.58.79,nginx,team@csi.co.zw,team@csi.co.zw,+263 77 301 2064; +263 71 803 7511; +263 71 803 7511 17,https://www.facebook.com/charliestevensinternational/; https://www.linkedin.com/company/charlie-stevens-international; https://www.instagram.com/charliestevensinternational/,,"/,/index.php/contact/,/index.php/about-us/",2026-05-04T21:08:46.292253+00:00
arcfin.co.zw,,business,,172.96.161.16,Apache,info@arcfin.co.zw,info@arcfin.co.zw,071 624 4753; +263 71 624 4753,,,"/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.292302+00:00
bkpainters.co.zw,,business,,144.208.108.181,Apache,,,,,,"/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.292353+00:00
cloverleaf.co.zw,,business,,95.179.206.203,Apache,,,,,,,2026-05-04T21:08:46.292371+00:00
chickenhut.co.zw,,business,,154.0.174.123,Apache,,,,https://twitter.com/chickenhutzim; https://www.facebook.com/chickenhutzw; https://www.instagram.com/chickenhutzw; https://www.linkedin.com/company/chicken-hut-zimbabwe,,"/,/about/,/about-us/",2026-05-04T21:08:46.292399+00:00
dapletsolutions.co.zw,,business,,216.158.226.159,Apache,admin@dapletsolutions.co.zw,admin@dapletsolutions.co.zw; projects@dapletsolutions.co.zw; accounts@dapletsolutions.co.zw; mail@example.com,+263 882900728; +263 772 406352; +263 772 406 352,https://www.facebook.com/sharer/sharer.php?u=https://dapletsolutions.co.zw/about/; https://twitter.com/intent/tweet?text=about&url=https://dapletsolutions.co.zw/about/&via=Crunchify; https://www.linkedin.com/shareArticle?mini=true&url=https://dapletsolutions.co.zw/about/,,"/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.292450+00:00
clivemalunga.co.zw,,blog,,192.138.189.196,LiteSpeed,jenaguru.village@gmail.com,jenaguru.village@gmail.com,+263782464001,https://www.facebook.com/malungaclive; https://twitter.com/jenaguruv,,"/,/about/,/contact",2026-05-04T21:08:46.292488+00:00
comkwik.co.zw,,other,,156.38.193.83,Apache,admin@comkwik.co.zw,0787444301-2/0772973555; admin@comkwik.co.zw,0787444301-2; 0772973555,https://www.facebook.com/comkwik,,"/,/about/,/about-us/",2026-05-04T21:08:46.292520+00:00
dadaya.co.zw,,education,,172.67.194.118,cloudflare,,,+263776972896,,,"/,/about/",2026-05-04T21:08:46.292558+00:00
chemicalplus.co.zw,,business,,198.175.150.250,LiteSpeed,sales@chemicalplus.co.zw,sales@chemicalplus.co.zw; shungwe@chemicalplus.co.zw,+263 773 910 168; +263 773 658 074,https://www.facebook.com/Chemical-Plus-114156881274530; https://www.linkedin.com/company/81601211/admin/,,"/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.292593+00:00
agrimed.co.zw,,ngo,,129.232.213.107,Apache,agrimed@agrimed.co.zw,agrimed@agrimed.co.zw,,https://www.facebook.com/agrimedzw/; https://www.twitter.com/agrimedzw; https://www.linkedin.com/company/agrimedzw,"44 McChlery Avenue Eastlea, Harare, Harare, ZW","/,/about/,/about-us/",2026-05-04T21:08:46.292638+00:00
dayforce.co.zw,,business,,148.251.13.105,Apache,,,+263 242 771 951; +263 242 710 570; +263 713 231 090,,,"/,/about/,/contact-us/",2026-05-04T21:08:46.292672+00:00
countryclub.co.zw,,business,,65.60.39.46,,info@countryclub.co.zw,info@countryclub.co.zw,+263 714 734 223; +263 8677 009718; +263 8677 009718 1,https://www.facebook.com/thecountryclubzw/; https://twitter.com/countryclubzim; https://www.instagram.com/thecountryclubnewlands/?hl=en; https://zw.linkedin.com/company/the-country-club-zimbabwe,,"/,/about/",2026-05-04T21:08:46.292705+00:00
climax.co.zw,,business,,144.208.108.181,Apache,,,+263 29 2270186,https://www.facebook.com/climaxrefrigeration/; https://twitter.com/climaxzimbabwe; http://www.facebook.com/sharer.php?u=https%3A%2F%2Fclimax.co.zw&t=Climax; http://twitter.com/share?text=Climax&url=https%3A%2F%2Fclimax.co.zw; http://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fclimax.co.zw&title=Climax; http://www.facebook.com/sharer.php?u=https%3A%2F%2Fclimax.co.zw%2Fabout%2F&t=About; http://twitter.com/share?text=About&url=https%3A%2F%2Fclimax.co.zw%2Fabout%2F; http://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fclimax.co.zw%2Fabout%2F&title=About,,"/,/about/,/about-us/",2026-05-04T21:08:46.292751+00:00
codchem.co.zw,,business,,129.232.213.113,Apache,,,,,,"/,/about/,/about-us/",2026-05-04T21:08:46.292777+00:00
cityglass.co.zw,,business,,129.232.213.107,Apache,,,,https://www.facebook.com/cityglasszw/; https://www.instagram.com/cityglasszim/,,"/,/about/",2026-05-04T21:08:46.292797+00:00
daltonyorksafaris.co.zw,,business,,188.114.96.5,cloudflare,,,,https://www.facebook.com/Dalton-York-Safaris-102864595139283; https://www.instagram.com/daltonyorksafaris/?hl=en; https://www.linkedin.com/in/dalton-tink-89078594/?originalSubdomain=zw,,"/,/about/,/contact-us/",2026-05-04T21:08:46.292823+00:00
cycling.co.zw,,blog,,87.117.234.111,Apache,,,,,,"/,/about/",2026-05-04T21:08:46.292853+00:00
ccosa.ac.zw,,education,,172.96.161.16,Apache,infor@ccosa.ac.zw,infor@ccosa.ac.zw; business@ccosa.ac.zw,+263 242-792721; +263788308528,,,/,2026-05-04T21:08:46.292894+00:00
cpengineers.co.zw,,other,,149.102.154.62,nginx,,,,,,,2026-05-04T21:08:46.292915+00:00
convox.innovura.co.zw,,business,,104.21.16.195,cloudflare,,,+263 773 286 772; +263 710 466 035 458; +263 773 286 772 458,https://www.linkedin.com/company/innovurazm/?viewAsMember=true; https://x.com/innovurazw; https://www.facebook.com/innovurazw,,"/,/about/,/contact-us/",2026-05-04T21:08:46.292956+00:00
crestcraftengineering.co.zw,,business,,149.255.62.113,,,,,,,,2026-05-04T21:08:46.292967+00:00
culinaryartsacademy.co.zw,,education,,72.52.216.43,Apache,admissions@culinaryartsacademy.co.zw,admissions@culinaryartsacademy.co.zw; enrolment@culinaryartsacademy.co.zw,+263 777 608 725; +263 242 746 028; +263 242 257 979,,,/,2026-05-04T21:08:46.293013+00:00
ccz.org.zw,,ngo,,129.232.213.107,Apache,info@ccz.org.zw,info@ccz.org.zw,+263 24 249 8441,https://twitter.com/CCZ_263?ref_src=twsrc%5Etfw; https://www.facebook.com/profile.php?id=61575001145401; https://twitter.com/CCZ_263?lang=en; https://www.instagram.com/consumercouncilzimbabwe/,,"/,/about/",2026-05-04T21:08:46.293082+00:00
divinefreight.co.zw,,business,,104.21.39.23,cloudflare,,,+263 24 274 88 48; +263 24 274 86 74; +263 77 137 11 00,https://www.instagram.com/divinefreight; https://x.com/divinefreight; https://zw.linkedin.com/company/divinefreight,,"/,/about-us/,/contact-us/",2026-05-04T21:08:46.293116+00:00
coverzen.co.zw,,business,,169.239.218.62,LiteSpeed,info@coverzen.co.zw,info@coverzen.co.zw,+263 77 124 3914; +263 78 144 545,https://www.instagram.com/coverzenzw/; https://www.facebook.com/coverzenzw; https://x.com/coverzenzw; https://www.instagram.com/coverzenzw; https://twitter.com/coverzenzw; https://www.linkedin.com/; https://www.instagram.com/; https://www.facebook.com/,,"/,/about/,/about-us/,/contact-us/",2026-05-04T21:08:46.293155+00:00
climatebrief.co.zw,,news,,172.96.161.16,Apache,,,+263 717 722 301,https://www.facebook.com/profile.php?id=61556945753657; https://www.linkedin.com/company/zw-climate-brief/; https://x.com/ZWClimateBrief,,/,2026-05-04T21:08:46.293188+00:00
clad.co.zw,,education,,172.96.161.16,Apache,info@clad.co.zw,info@clad.co.zw,+263774072436; +263719585522,https://facebook.com/polcjot; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fclad.co.zw%2F; https://twitter.com/intent/tweet?text=Primary%20Online%20Learner&url=https%3A%2F%2Fclad.co.zw%2F; https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fclad.co.zw%2F; https://facebook.com/cjot; https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fclad.co.zw%2F%3Fp%3D9; https://twitter.com/intent/tweet?text=About&url=https%3A%2F%2Fclad.co.zw%2F%3Fp%3D9; https://www.linkedin.com/sharing/share-offsite/?url=https%3A%2F%2Fclad.co.zw%2F%3Fp%3D9,,"/,/about/",2026-05-04T21:08:46.293228+00:00
dbworks.co.zw,,other,,85.187.142.72,Apache,,,,https://www.linkedin.com/,,"/,/about/",2026-05-04T21:08:46.293271+00:00
carmelschool.co.zw,,education,,209.126.92.4,Apache,secretary@carmelschool.co.zw,secretary@carmelschool.co.zw,0292 269421; 029 2269841,http://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.carmelschool.co.zw&t=Carmel%20Primary%20School; http://twitter.com/share?text=Carmel%20Primary%20School&url=https%3A%2F%2Fwww.carmelschool.co.zw; http://www.linkedin.com/shareArticle?mini=true&url=https%3A%2F%2Fwww.carmelschool.co.zw&title=Carmel%20Primary%20School,,"/,/category/about-our-school/",2026-05-04T21:08:46.293306+00:00
deridon.co.zw,,business,,172.96.161.16,Apache,,,,,,"/about/,/about-us/",2026-05-04T21:08:46.293332+00:00
dataanalysis.co.zw,,business,,99.198.109.66,Apache,info@dataanalysis.co.zw,info@dataanalysis.co.zw,+263 719-397-464; 001 4 5 2; 002 3 4 1,,,/,2026-05-04T21:08:46.293369+00:00
efoods.co.zw,,ecommerce,,172.67.204.125,cloudflare,,,+263 8677 010 181; +263 772 132 225,https://www.facebook.com/mmmrsauce/; https://www.instagram.com/mmmrsauce/; https://www.facebook.com/naturalforestzw; https://www.instagram.com/naturalforestzw; https://zw.linkedin.com/company/efoodszw,,/,2026-05-04T21:08:46.293409+00:00
dawnconsult.co.zw,,business,,129.232.213.107,Apache,,,,,,,2026-05-04T21:08:46.293429+00:00
cendel.co.zw,,blog,,129.232.213.107,Apache,,,,,,,2026-05-04T21:08:46.293443+00:00
citimedhospital.co.zw,,business,,104.21.13.139,cloudflare,,,,,,,2026-05-04T21:08:46.293472+00:00
crocomotors.co.zw,,business,,162.241.69.77,Apache,,,,https://www.facebook.com/CrocoMotors; https://twitter.com/CrocoMotors; https://www.instagram.com/crocomotorszw/; https://www.linkedin.com/company/croco-motors/,,/,2026-05-04T21:08:46.293499+00:00
czi.co.zw,,business,,41.85.192.3,Apache,membership@czi.co.zw,membership@czi.co.zw; events@czi.co.zw,+263 789 092 977,,,/,2026-05-04T21:08:46.293540+00:00
eisaz.co.zw,,business,,172.93.106.10,LiteSpeed,,,,,,/,2026-05-04T21:08:46.293569+00:00
danox.co.zw,,business,,172.96.161.16,Apache,,,0242749362,https://www.facebook.com/danoxweld; https://twitter.com/TinasheZengenen; https://www.instagram.com/danoxwelding/,,/,2026-05-04T21:08:46.293584+00:00
daws.co.zw,,ecommerce,,95.217.165.252,,sales@daws.co.zw,sales@daws.co.zw,+263773314140; +263773 314 140; +263712 243 888,,,/,2026-05-04T21:08:46.293621+00:00
datacopy.co.zw,,business,,209.59.133.5,Apache,,,,,,,2026-05-04T21:08:46.293641+00:00
crediblehost.co.zw,,business,,185.151.30.186,Apache,support@credible.host,support@credible.host,+263772 519 128; +263 772 519 128,https://www.facebook.com/crediblehosting; https://www.twitter.com/crediblehost; https://www.linkedin.com/in/credible-host-zimbabwe-938785222/?originalSubdomain=zw; https://www.instagram.com/crediblehosting; https://www.facebook.com/crediblehosting/,,/,2026-05-04T21:08:46.293678+00:00
digitaleconomyconference.org.zw,,business,,41.57.65.28,Apache,,,,,,,2026-05-04T21:08:46.293694+00:00
datcitizen.co.zw,,business,,77.72.2.88,LiteSpeed,,,,,,,2026-05-04T21:08:46.293719+00:00
costcutter.co.zw,,ecommerce,,129.232.213.109,Apache,,,,,,,2026-05-04T21:08:46.293803+00:00
davipel.co.zw,,other,,129.232.213.113,Apache,,,,,,,2026-05-04T21:08:46.293847+00:00
digitalprinting.co.zw,,business,,87.117.234.111,Apache,p%72%69nt%40r%6Fcking%72at.c%6F%6D,p%72%69nt%40r%6Fcking%72at.c%6F%6D; print@rockingrat.com,,,,/,2026-05-04T21:08:46.293890+00:00
compstats.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.293909+00:00
decision1.co.zw,,business,,184.154.215.138,,info@decision1.co.zw,info@decision1.co.zw,+263 864 410; 0775 526 709,,,"/,/about/,/about-us/",2026-05-04T21:08:46.293942+00:00
cimas.co.zw,,business,,141.193.213.10,cloudflare,connect@cimas.co.zw,connect@cimas.co.zw; taxcertificates@cimas.co.zw,+263 867 7400 500; 08080001-3,https://www.facebook.com/CimasMedicalAid/; https://twitter.com/CimasMedical; https://www.linkedin.com/company/cimas-medical-aid-society,,"/,/about/",2026-05-04T21:08:46.293994+00:00
destinyschools.ac.zw,,education,,95.111.224.249,Apache,,,,,,,2026-05-04T21:08:46.294047+00:00
diamondfm.co.zw,,news,,129.232.216.103,Apache,,,,,,,2026-05-04T21:08:46.294080+00:00
csz.org.zw,,ngo,,192.124.249.117,Sucuri/Cloudproxy,,,,https://twitter.com/compsocietyzim?ref_src=twsrc%5Etfw; https://www.facebook.com/ComputerSocietyofZimbabwe; https://twitter.com/compsocietyzim; https://www.linkedin.com/company/computer-society-of-zimbabwe; https://www.instagram.com/compsocietyzim/,,/,2026-05-04T21:08:46.294119+00:00
diy.co.zw,,blog,,87.117.234.111,Apache,,,,,,,2026-05-04T21:08:46.294159+00:00
dissertations.co.zw,,education,,99.198.109.66,Apache,,,,,,,2026-05-04T21:08:46.294184+00:00
digitalfoundry.co.zw,,business,,87.117.234.111,Apache,,,,,,,2026-05-04T21:08:46.294204+00:00
doves.co.zw,,business,generatepress,129.232.245.43,Apache,,,,,,,2026-05-04T21:08:46.294232+00:00
contruckafrica.co.zw,,business,,149.255.58.81,nginx,info@contruckafrica.co.zw,info@contruckafrica.co.zw,+263771060060; 0782375654; +263775378807,,,/,2026-05-04T21:08:46.294258+00:00
dawnpropertyconsult.co.zw,,business,,95.111.227.164,Apache,,,,,,,2026-05-04T21:08:46.294275+00:00
dreamshiring.co.zw,,business,,67.225.129.139,Apache,,,,,,,2026-05-04T21:08:46.294300+00:00
dp.co.zw,,business,Divi,144.208.108.181,Apache,,,,,,,2026-05-04T21:08:46.294322+00:00
ecological.co.zw,,business,,68.66.224.58,Apache,,,,,,,2026-05-04T21:08:46.294334+00:00
dzimbabweindustries.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.294354+00:00
dsazim.org.zw,,ngo,,160.153.0.170,cloudflare,,,,,,,2026-05-04T21:08:46.294378+00:00
eeztel.co.zw,,business,,129.232.223.42,Apache,,,,,,,2026-05-04T21:08:46.294407+00:00
edgars.co.zw,,ecommerce,,95.179.206.203,Apache,,,,,,,2026-05-04T21:08:46.294423+00:00
ecz.co.zw,,government,,104.26.8.94,cloudflare,,,,,,,2026-05-04T21:08:46.294441+00:00
dulys.co.zw,,ecommerce,hello-elementor,162.241.69.77,Apache,,,,,,,2026-05-04T21:08:46.294512+00:00
divinehealthcentre.co.zw,,business,,209.42.28.12,LiteSpeed,,,+263 242 794 730; +263 785 854 522; +263 719 273 615,,,/,2026-05-04T21:08:46.294547+00:00
ellchart.ac.zw,,education,,192.250.229.235,LiteSpeed,,,,,,,2026-05-04T21:08:46.294581+00:00
fibrehood.co.zw,,other,,192.138.189.196,LiteSpeed,,,,,,/,2026-05-04T21:08:46.294603+00:00
esgnetworkzimbabwe.co.zw,,business,,106.0.62.94,Apache,,,,,,,2026-05-04T21:08:46.294625+00:00
esoft.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.294635+00:00
digjet.co.zw,,ecommerce,,103.138.189.55,LiteSpeed,,,,,,,2026-05-04T21:08:46.294674+00:00
ecocashbettingsites.co.zw,,business,,172.93.106.10,LiteSpeed,,,,,,,2026-05-04T21:08:46.294706+00:00
eternalventures.co.zw,,ecommerce,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.294728+00:00
etimes.co.zw,,news,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.294745+00:00
events.thinklocal.co.zw,,business,,107.6.136.18,,,,,,,/,2026-05-04T21:08:46.294768+00:00
edohart.co.zw,,business,,104.21.26.149,cloudflare,,,,,,,2026-05-04T21:08:46.294794+00:00
elearning.co.zw,,education,,68.66.248.7,LiteSpeed,,,,,,,2026-05-04T21:08:46.294813+00:00
evolve.co.zw,,business,,72.52.214.42,Apache,,,,,,,2026-05-04T21:08:46.294831+00:00
expomix.co.zw,,business,,148.251.13.105,Apache,,,,,,,2026-05-04T21:08:46.294851+00:00
gmsae.gzu.ac.zw,,education,,196.43.101.214,Apache,,,,,,,2026-05-04T21:08:46.294879+00:00
expressmedia.co.zw,,business,,99.198.109.66,Apache,,,,,,,2026-05-04T21:08:46.294909+00:00
fambidzanai.org.zw,,other,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.294918+00:00
farmec.co.zw,,other,,149.255.62.153,nginx,,,,,,,2026-05-04T21:08:46.294930+00:00
fairhaven.co.zw,,business,,45.159.229.131,LiteSpeed,,,,,,,2026-05-04T21:08:46.294944+00:00
etickets.co.zw,,ecommerce,,165.140.70.145,LiteSpeed,,,,,,,2026-05-04T21:08:46.294963+00:00
drillforce.co.zw,,business,,104.21.55.126,cloudflare,,,,,,,2026-05-04T21:08:46.294989+00:00
fawcetts.co.zw,,business,,162.241.127.51,Apache,,,,,,,2026-05-04T21:08:46.295007+00:00
fastenit.co.zw,,business,,164.68.105.195,,,,,,,,2026-05-04T21:08:46.295023+00:00
fertilizer.co.zw,,business,,87.117.234.111,Apache,,,,,,,2026-05-04T21:08:46.295046+00:00
enaz.co.zw,,ngo,,192.138.189.196,LiteSpeed,,,,,,,2026-05-04T21:08:46.295060+00:00
excelelevators.co.zw,,business,,104.21.75.87,cloudflare,,,,,,,2026-05-04T21:08:46.295071+00:00
fingrow.co.zw,,business,,173.231.246.164,Apache,,,,,,,2026-05-04T21:08:46.295093+00:00
firmcare.co.zw,,business,,51.68.201.235,LiteSpeed,,,,,,,2026-05-04T21:08:46.295099+00:00
fiz.co.zw,,business,,87.117.234.111,Apache,,,,,,,2026-05-04T21:08:46.295121+00:00
emeraldhome.org.zw,,ngo,,194.110.243.35,,,,,,,,2026-05-04T21:08:46.295132+00:00
foodgalahospitality.co.zw,,business,,172.96.161.16,Apache,,,,,,,2026-05-04T21:08:46.295148+00:00
folio.co.zw,,ecommerce,,149.255.62.9,nginx,,,,,,,2026-05-04T21:08:46.295183+00:00
flowertiqueflorist.co.zw,,ecommerce,,129.232.213.113,Apache,,,,,,,2026-05-04T21:08:46.295192+00:00
fpa.ac.zw,,education,,162.211.86.33,Apache,,,,,,,2026-05-04T21:08:46.295205+00:00
fozzby.co.zw,,ecommerce,,145.239.6.187,LiteSpeed,,,,,,,2026-05-04T21:08:46.295219+00:00
freightsolutions.co.zw,,business,,77.95.113.16,LiteSpeed,,,,,,,2026-05-04T21:08:46.295230+00:00
globtech.co.zw,,business,sydney,192.250.229.235,LiteSpeed,,,,,,,2026-05-04T21:08:46.295249+00:00
geopomona.co.zw,,business,,104.168.182.146,Apache,,,,,,,2026-05-04T21:08:46.295272+00:00
flint.co.zw,,business,,209.182.206.53,Apache,sales@flint.co.zw,sales@flint.co.zw,+263 24 2758 071-3,,,/contact-us/,2026-05-04T21:08:46.295299+00:00
gentech.co.zw,,business,,45.77.56.87,Apache,Gentech@lucky.co.zw,Gentech@lucky.co.zw; Workshop@lucky.co.zw; Spares@lucky.co.zw; parts@lucky.co.zw; stores@lucky.co.zw,+263782794515; +263242486320; +263788142142,https://www.facebook.com/gentechzw; https://www.instagram.com/gentechzw/,,"/about-us/,/contact-us/",2026-05-04T21:08:46.295324+00:00
games.cryptosine.co.zw,,business,,184.154.167.98,Apache,,,,,,,2026-05-04T21:08:46.295340+00:00
groundswell.co.zw,,business,,188.114.97.5,cloudflare,,,,,,,2026-05-04T21:08:46.295367+00:00
gtssecurity.co.zw,,business,,104.21.86.57,cloudflare,pm@pjmzim.com,pm@pjmzim.com,,,,"/,/contact-us/",2026-05-04T21:08:46.295391+00:00
garageforecourt.co.zw,,business,,156.38.193.84,Apache,marketing@garageforecourt.co.zw,marketing@garageforecourt.co.zw; sales@garageforecourt.co.zw,+263292472483,https://www.facebook.com/garageforecourt2021; https://www.linkedin.com/company/jb-garageforecourt-pvt-ltd/; https://www.instagram.com/garage_and_forecourt_pvt_ltd/,,/contact-us/,2026-05-04T21:08:46.295420+00:00
focas.co.zw,,ngo,,107.6.136.18,,info@focas.co.zw,info@focas.co.zw,+263 78338 3690,,,/contact-us/,2026-05-04T21:08:46.295451+00:00
homelistings.co.zw,,ecommerce,,172.96.187.222,LiteSpeed,enquiries@homelistings.co.zw,enquiries@homelistings.co.zw; tawona@homelistings.co.zw,0776 448 936,,,"/,/about/,/contact",2026-05-04T21:08:46.295471+00:00
grosvenorhouse.co.zw,,business,,87.117.234.111,Apache,,,,https://www.facebook.com/GrosvenorHouseZim; https://www.instagram.com/grosvenor_house_zw/,,"/,/about-us/,/contact-us/",2026-05-04T21:08:46.295485+00:00
goldenbricks.co.zw,,business,,209.59.133.5,Apache,sales@goldenbricks.co.zw,sales@goldenbricks.co.zw,+263 4 794695; +263 732 884 190; +263 732 884 198,https://www.facebook.com/goldenbrickszim,,"/,/contact-us/",2026-05-04T21:08:46.295519+00:00
gmbdura.co.zw,,government,,144.91.88.223,Apache,,,,,,/about-us/,2026-05-04T21:08:46.295549+00:00
icd.co.zw,,education,astra,185.146.22.254,LiteSpeed,admin@icd.co.zw,admin@cipmz.co.zw; admin@icd.co.zw,+263 242 443 124; +263 772 469 893; +263 77 267 5810,https://www.facebook.com/InstituteofCorporateDirectorsZimbabwe; https://www.linkedin.com/company/institute-of-corporate-directors-zimbabwe/,,"/,/about-icdz-membership/",2026-05-04T21:08:46.295586+00:00
humaneafricatrust.org.zw,,ngo,,192.138.189.196,LiteSpeed,info@humaneafricatrust.co,info@humaneafricatrust.co; Linda@humaneafricatrust.co.zw,+263 772 851746; +263 772 851 746,,,"/,/about/,/contact",2026-05-04T21:08:46.295619+00:00
history.co.zw,,ngo,,87.117.234.111,Apache,hszc%6Fm%6D%73%40gma%69l.%63om,hszc%6Fm%6D%73%40gma%69l.%63om; hszcomms@gmail.com,,,,"/,/about/,/contact",2026-05-04T21:08:46.295649+00:00
gatewayctc.ac.zw,,education,,160.153.253.177,,info@gatewayctc.ac.zw,info@gatewayctc.ac.zw,+263 77 349 2308; +263242 333 760,https://www.facebook.com/gctczw,,/contact-us/,2026-05-04T21:08:46.295673+00:00
fsg.co.zw,,business,,54.84.55.102,Apache,,,,,,,2026-05-04T21:08:46.295693+00:00
goptstove.co.zw,,ecommerce,,129.232.223.42,Apache,info@goptstove.co.zw,info@goptstove.co.zw,+263 772 271 651; 0772664459; 0772271651,https://www.facebook.com/GOPT-solar-stove-107730827667872/?modal=admin_todo_tour,,"/,/about-us/,/contact-us/",2026-05-04T21:08:46.295732+00:00
internalcontrolinstitute.co.zw,,ngo,,185.146.22.254,LiteSpeed,admin@internalcontrolinstitute.co.zw,admin@inernalcontrolinstitute.co.zw; admin@internalcontrolinstitute.co.zw,+263 242 443 124; +263 242 443 124 0; +263 77 267 5810 0,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.295781+00:00
frosthouse.co.zw,,ecommerce,,172.93.106.10,LiteSpeed,info@frosthouse.co.zw,infro@frosthouse.co.zw; %20contact@example.com; info@frosthouse.co.zw,+263 781 260 260,https://www.facebook.com/profile.php?id=100083358130534; https://www.linkedin.com/company/frosthouse-electrical/; https://www.instagram.com/frosthouseelectrical/; https://twitter.com/FrosthouseElect,,/contact-us/,2026-05-04T21:08:46.295814+00:00
innovura.co.zw,,business,,104.21.16.195,cloudflare,,,+263773 286 772; +263710 466 035; +263 773 286 772,"https://x.com/innovurazw; https://www.facebook.com/innovurazw/; https://linkedin.com/company/innovurazm
",,"/,/about/,/contact-us/,/contact",2026-05-04T21:08:46.295852+00:00
hararemagazine.co.zw,,news,,104.21.14.221,cloudflare,,,00000000,https://www.facebook.com/hararemag; https://www.instagram.com/hararemagazine/,,/,2026-05-04T21:08:46.295885+00:00
emerge.co.zw,,business,,192.250.229.33,LiteSpeed,,,,,,,2026-05-04T21:08:46.295906+00:00
iconmarketing.co.zw,,business,hello-elementor,66.45.23.70,,info@iconmarketing.co.zw,info@iconmarketing.co.zw,+263776803255; +263 776 803 255,,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.295940+00:00
hardmonds.co.zw,,business,,172.67.219.142,cloudflare,,,,,,,2026-05-04T21:08:46.295955+00:00
groundup.co.zw,,business,,188.114.96.5,cloudflare,,,+263 777 485 188,,,/,2026-05-04T21:08:46.295992+00:00
innocraft.co.zw,,business,,192.145.234.17,nginx/1.29.8,enquiries@innocraft.co.zw,enquiries@innocraft.co.zw; corporate@innocraft.co.zw; careers@innocraft.co.zw,+263 55 252 6611; +263 783 207 717; +263 711 344 560,https://facebook.com/; https://twitter.com/; https://www.instagram.com/; https://twitter.com/innocraftzw; https://www.linkedin.com/company/innocraftzw,,"/,/about/,/about-us/,/contact",2026-05-04T21:08:46.296029+00:00
freshspot.co.zw,,other,,185.199.220.88,LiteSpeed,,,,,,,2026-05-04T21:08:46.296055+00:00
indale.co.zw,,business,,41.203.18.114,Apache,sales@indale.co.zw,sales@indale.co.zw; sales2@indale.co.zw,+263 242486200; 0772 604 070,https://www.facebook.com/IndaleEnterprises,,"/,/about/,/about-us/,/contact-us/,/contact",2026-05-04T21:08:46.296172+00:00
germanconstruction.co.zw,,business,,169.1.24.167,nginx,sales@germanconstruction.co.zw,sales@germanconstruction.co.zw,+263 242 332 3 11; +263 772 933 380; +263 242 332 311,https://www.facebook.com/germanconstructioncompany; https://www.instagram.com/germanconstruction/?hl=en,,"/,/about-us/",2026-05-04T21:08:46.296273+00:00
hcls.gzu.ac.zw,,education,,196.43.101.214,Apache,,,,,,,2026-05-04T21:08:46.296338+00:00
